Niccolo_Morelli_Right_1.c3d  



Time(s):	Emg_4(μV):
0.349	34.54285
0.3495	47.53418
0.35	57.00073
0.3505	53.87878
0.351	62.23755
0.3515	73.81897
0.352	86.50818
0.3525	92.34924
0.353	102.72217
0.3535	109.16748
0.354	111.38306
0.3545	107.75757
0.355	113.29651
0.3555	107.25403
0.356	109.4696
0.3565	102.42004
0.357	91.94641
0.3575	82.37915
0.358	77.54517
0.3585	65.56091
0.359	57.70569
0.3595	45.3186
0.36	36.05347
0.3605	27.79541
0.361	22.86072
0.3615	14.80408
0.362	2.21558
0.3625	0.90637
0.363	4.73328
0.3635	2.31628
0.364	1.81274
0.3645	-3.62549
0.365	-0.90637
0.3655	-7.65381
0.366	-13.29346
0.3665	-21.65222
0.367	-38.87329
0.3675	-42.49878
0.368	-47.23206
0.3685	-47.23206
0.369	-49.74976
0.3695	-47.53418
0.37	-56.90002
0.3705	-64.45312
0.371	-57.8064
0.3715	-60.02197
0.372	-52.8717
0.3725	-48.23914
0.373	-41.18958
0.3735	-40.78674
0.374	-28.50037
0.3745	-16.21399
0.375	-13.99841
0.3755	1.61133
0.376	8.96301
0.3765	11.38
0.377	18.22815
0.3775	31.62231
0.378	36.85913
0.3785	38.16833
0.379	35.04639
0.3795	35.75134
0.38	41.08887
0.3805	37.26196
0.381	33.33435
0.3815	36.05347
0.382	28.09753
0.3825	25.07629
0.383	23.8678
0.3835	17.92603
0.384	10.0708
0.3845	9.16443
0.385	10.87646
0.3855	11.78284
0.386	6.64673
0.3865	5.13611
0.387	10.87646
0.3875	13.59558
0.388	5.53894
0.3885	6.2439
0.389	6.54602
0.3895	6.44531
0.39	-5.0354
0.3905	-11.48071
0.391	-10.17151
0.3915	-12.38708
0.392	-25.78125
0.3925	-29.40674
0.393	-25.177
0.3935	-30.91736
0.394	-30.91736
0.3945	-30.01099
0.395	-36.15417
0.3955	-27.89612
0.396	-23.26355
0.3965	-16.61682
0.397	-7.35168
0.3975	0.40283
0.398	6.14319
0.3985	5.84106
0.399	3.92761
0.3995	4.43115
0.4	-5.74036
0.4005	-7.25098
0.401	-18.8324
0.4015	-22.55859
0.402	-32.93152
0.4025	-46.22498
0.403	-62.33826
0.4035	-82.88269
0.404	-90.23438
0.4045	-95.87402
0.405	-103.93066
0.4055	-101.21155
0.406	-92.34924
0.4065	-78.35083
0.407	-66.36658
0.4075	-48.33984
0.408	-28.9032
0.4085	-8.25806
0.409	7.5531
0.4095	30.01099
0.41	55.3894
0.4105	71.09985
0.411	83.68835
0.4115	95.37048
0.412	111.38306
0.4125	116.21704
0.413	119.13757
0.4135	119.23828
0.414	117.72766
0.4145	109.77173
0.415	104.63562
0.4155	90.5365
0.416	82.37915
0.4165	67.67578
0.417	60.22339
0.4175	57.00073
0.418	48.44055
0.4185	43.90869
0.419	42.49878
0.4195	35.85205
0.42	20.64514
0.4205	14.80408
0.421	15.40833
0.4215	2.31628
0.422	2.11487
0.4225	-1.51062
0.423	1.10779
0.4235	-0.80566
0.424	-6.54602
0.4245	-5.33752
0.425	-7.15027
0.4255	-2.92053
0.426	-7.75452
0.4265	-7.45239
0.427	-11.48071
0.4275	-17.92603
0.428	-17.12036
0.4285	-21.3501
0.429	-24.06921
0.4295	-23.36426
0.43	-29.50745
0.4305	-36.4563
0.431	-39.67896
0.4315	-40.1825
0.432	-44.61365
0.4325	-43.30444
0.433	-47.43347
0.4335	-46.82922
0.434	-46.42639
0.4345	-42.09595
0.435	-34.14001
0.4355	-34.03931
0.436	-20.84656
0.4365	-17.42249
0.437	-11.48071
0.4375	-7.65381
0.438	-0.20142
0.4385	8.66089
0.439	18.22815
0.4395	18.02673
0.44	20.94727
0.4405	25.57983
0.441	32.93152
0.4415	37.16125
0.442	50.15259
0.4425	50.15259
0.443	49.0448
0.4435	37.66479
0.444	42.29736
0.4445	41.39099
0.445	30.71594
0.4455	27.6947
0.446	25.47913
0.4465	18.32886
0.447	12.38708
0.4475	4.83398
0.448	5.13611
0.4485	2.81982
0.449	2.01416
0.4495	-1.51062
0.45	1.10779
0.4505	0
0.451	-3.12195
0.4515	-6.84814
0.452	-8.25806
0.4525	-9.36584
0.453	-2.21558
0.4535	-7.45239
0.454	-2.31628
0.4545	-5.0354
0.455	-10.77576
0.4555	-9.16443
0.456	-21.95435
0.4565	-34.03931
0.457	-45.41931
0.4575	-59.71985
0.458	-64.75525
0.4585	-68.48145
0.459	-75.12817
0.4595	-84.49402
0.46	-84.99756
0.4605	-79.86145
0.461	-76.94092
0.4615	-69.89136
0.462	-71.80481
0.4625	-53.37524
0.463	-45.72144
0.4635	-27.29187
0.464	-11.2793
0.4645	9.26514
0.465	27.89612
0.4655	33.9386
0.466	46.32568
0.4665	57.9071
0.467	57.8064
0.4675	65.05737
0.468	63.64746
0.4685	62.13684
0.469	70.59631
0.4695	62.33826
0.47	64.151
0.4705	59.31702
0.471	51.46179
0.4715	51.15967
0.472	41.89453
0.4725	43.30444
0.473	40.48462
0.4735	29.00391
0.474	10.87646
0.4745	-10.77576
0.475	-15.20691
0.4755	-23.96851
0.476	-29.50745
0.4765	-41.79382
0.477	-42.19666
0.4775	-47.7356
0.478	-43.00232
0.4785	-35.04639
0.479	-26.28479
0.4795	-23.06213
0.48	-15.1062
0.4805	-19.63806
0.481	-17.52319
0.4815	-16.3147
0.482	-19.63806
0.4825	-26.3855
0.483	-37.26196
0.4835	-37.7655
0.484	-39.98108
0.4845	-36.85913
0.485	-27.89612
0.4855	-28.29895
0.486	-13.09204
0.4865	-8.45947
0.487	5.43823
0.4875	12.68921
0.488	28.80249
0.4885	33.63647
0.489	48.13843
0.4895	53.07312
0.49	57.9071
0.4905	62.74109
0.491	66.56799
0.4915	65.96375
0.492	64.35242
0.4925	72.00623
0.493	70.3949
0.4935	72.9126
0.494	66.46729
0.4945	70.09277
0.495	58.20923
0.4955	51.46179
0.496	38.47046
0.4965	34.24072
0.497	30.81665
0.4975	24.47205
0.498	23.46497
0.4985	14.30054
0.499	5.13611
0.4995	6.94885
0.5	8.05664
0.5005	6.64673
0.501	0
0.5015	-12.48779
0.502	-17.01965
0.5025	-16.21399
0.503	-19.73877
0.5035	-24.77417
0.504	-24.67346
0.5045	-20.64514
0.505	-17.82532
0.5055	-15.81116
0.506	-20.94727
0.5065	-14.60266
0.507	-29.20532
0.5075	-21.85364
0.508	-22.25647
0.5085	-22.25647
0.509	-23.36426
0.5095	-9.97009
0.51	-6.84814
0.5105	1.61133
0.511	8.96301
0.5115	17.92603
0.512	27.19116
0.5125	39.67896
0.513	42.90161
0.5135	52.06604
0.514	53.67737
0.5145	37.66479
0.515	35.85205
0.5155	20.1416
0.516	7.45239
0.5165	0.70496
0.517	-19.13452
0.5175	-40.78674
0.518	-57.9071
0.5185	-68.88428
0.519	-69.38782
0.5195	-75.73242
0.52	-88.92517
0.5205	-96.27686
0.521	-101.41296
0.5215	-101.21155
0.522	-96.67969
0.5225	-104.93774
0.523	-100.00305
0.5235	-96.37756
0.524	-87.51526
0.5245	-69.89136
0.525	-52.36816
0.5255	-29.80957
0.526	-10.0708
