Niccolo_Morelli_Left_1.c3d  



Time(s):	Emg_1(μV):
0.3615	-2.61841
0.362	-1.71204
0.3625	-1.00708
0.363	-3.8269
0.3635	-2.11487
0.364	-0.70496
0.3645	-1.91345
0.365	4.83398
0.3655	11.38
0.366	13.69629
0.3665	1.51062
0.367	-4.22974
0.3675	-9.16443
0.368	1.40991
0.3685	8.15735
0.369	17.72461
0.3695	39.07471
0.37	60.72693
0.3705	53.67737
0.371	41.59241
0.3715	39.77966
0.372	43.40515
0.3725	37.16125
0.373	35.85205
0.3735	33.03223
0.374	14.19983
0.3745	10.57434
0.375	2.31628
0.3755	-1.71204
0.376	-7.65381
0.3765	-9.16443
0.377	-16.21399
0.3775	-20.84656
0.378	-16.51611
0.3785	-13.09204
0.379	-15.71045
0.3795	-10.0708
0.38	-14.70337
0.3805	-3.52478
0.381	5.53894
0.3815	10.37292
0.382	10.97717
0.3825	4.43115
0.383	-3.32336
0.3835	-2.61841
0.384	-4.63257
0.3845	-6.94885
0.385	-8.96301
0.3855	-1.91345
0.386	1.91345
0.3865	2.01416
0.387	-2.11487
0.3875	-5.0354
0.388	-9.36584
0.3885	-20.24231
0.389	-36.25488
0.3895	-42.09595
0.39	-56.19507
0.3905	-65.76233
0.391	-71.60339
0.3915	-71.50269
0.392	-69.48853
0.3925	-48.84338
0.393	-29.10461
0.3935	1.51062
0.394	18.12744
0.3945	36.55701
0.395	57.30286
0.3955	87.41455
0.396	105.03845
0.3965	111.48376
0.397	108.66394
0.3975	103.52783
0.398	82.27844
0.3985	64.151
0.399	44.71436
0.3995	40.78674
0.4	34.54285
0.4005	21.45081
0.401	19.23523
0.4015	26.08337
0.402	22.35718
0.4025	20.64514
0.403	25.37842
0.4035	24.47205
0.404	35.2478
0.4045	31.82373
0.405	23.76709
0.4055	10.47363
0.406	6.84814
0.4065	3.7262
0.407	0.40283
0.4075	-2.5177
0.408	-5.94177
0.4085	-1.91345
0.409	-1.3092
0.4095	0.30212
0.41	-0.60425
0.4105	-2.5177
0.411	6.94885
0.4115	12.68921
0.412	23.46497
0.4125	29.40674
0.413	30.11169
0.4135	35.65063
0.414	39.77966
0.4145	44.31152
0.415	48.74268
0.4155	38.57117
0.416	32.02515
0.4165	24.97559
0.417	32.62939
0.4175	46.32568
0.418	58.20923
0.4185	70.79773
0.419	76.13525
0.4195	77.34375
0.42	75.4303
0.4205	63.64746
0.421	51.15967
0.4215	31.52161
0.422	19.63806
0.4225	9.16443
0.423	-5.84106
0.4235	-18.63098
0.424	-28.09753
0.4245	-39.07471
0.425	-45.11719
0.4255	-49.74976
0.426	-51.5625
0.4265	-58.00781
0.427	-52.67029
0.4275	-51.26038
0.428	-51.26038
0.4285	-45.3186
0.429	-26.68762
0.4295	-6.04248
0.43	-5.43823
0.4305	-1.61133
0.431	1.00708
0.4315	5.33752
0.432	-0.90637
0.4325	-2.81982
0.433	-1.81274
0.4335	0.20142
0.434	4.43115
0.4345	11.17859
0.435	9.06372
0.4355	15.30762
0.436	15.00549
0.4365	12.38708
0.437	15.91187
0.4375	20.84656
0.438	18.73169
0.4385	24.67346
0.439	26.08337
0.4395	31.01807
0.44	35.85205
0.4405	44.21082
0.441	47.8363
0.4415	47.23206
0.442	45.11719
0.4425	42.09595
0.443	40.98816
0.4435	36.85913
0.444	33.9386
0.4445	24.57275
0.445	18.8324
0.4455	3.8269
0.446	-0.40283
0.4465	-8.35876
0.447	-34.94568
0.4475	-67.67578
0.448	-87.91809
0.4485	-109.3689
0.449	-116.61987
0.4495	-125.48218
0.45	-125.98572
0.4505	-131.32324
0.451	-116.31775
0.4515	-99.60022
0.452	-75.63171
0.4525	-39.07471
0.453	-9.06372
0.4535	18.42957
0.454	41.69312
0.4545	66.76941
0.455	64.95667
0.4555	67.67578
0.456	72.40906
0.4565	59.71985
0.457	57.9071
0.4575	54.48303
0.458	45.11719
0.4585	37.26196
0.459	31.82373
0.4595	35.2478
0.46	33.83789
0.4605	33.63647
0.461	29.00391
0.4615	24.16992
0.462	28.39966
0.4625	16.91895
0.463	20.74585
0.4635	11.98425
0.464	11.78284
0.4645	14.90479
0.465	14.90479
0.4655	8.25806
0.466	13.99841
0.4665	11.88354
0.467	6.3446
0.4675	9.36584
0.468	6.3446
0.4685	6.14319
0.469	9.86938
0.4695	7.35168
0.47	5.23682
0.4705	7.65381
0.471	4.33044
0.4715	4.63257
0.472	1.51062
0.4725	4.22974
0.473	4.53186
0.4735	4.43115
0.474	6.74744
0.4745	-0.10071
0.475	5.23682
0.4755	-1.81274
0.476	-3.92761
0.4765	-0.60425
0.477	-5.33752
0.4775	-2.61841
0.478	-2.41699
0.4785	-2.92053
0.479	-1.00708
0.4795	0.70496
0.48	6.64673
0.4805	3.22266
0.481	10.17151
0.4815	12.28638
0.482	3.8269
0.4825	13.39417
0.483	8.96301
0.4835	13.29346
0.484	21.75293
0.4845	16.01257
0.485	15.00549
0.4855	9.16443
0.486	6.3446
0.4865	5.74036
0.487	6.14319
0.4875	10.27222
0.488	10.17151
